	score	num
ARAP2	215	6
ARAP3	488	12
ARCN1	308	10
AREG	780	54
ARF1	938	66
ARF3	403	58
ARF4	263	30
ARF5	299	34
ARF6	946	88
ARFGAP1	286	18
ARFGAP2	271	14
ARFGAP3	186	14
ARFGEF1	264	12
ARFGEF2	311	12
ARFIP1	417	10
ARFIP2	343	8
ARFRP1	269	6
ARG1	976	92
ARG2	984	66
ARGFX	337	6
ARGLU1	351	8
ARHGAP1	505	26
ARHGAP10	705	2
ARHGAP11A	530	6
ARHGAP11B	651	6
ARHGAP12	303	8
ARHGAP15	243	10
ARHGAP17	557	10
ARHGAP20	293	4
ARHGAP21	538	14
ARHGAP22	506	6
ARHGAP23	355	6
ARHGAP24	526	6
ARHGAP25	274	8
ARHGAP26	486	14
ARHGAP27	292	14
ARHGAP28	385	2
ARHGAP29	362	8
ARHGAP30	276	22
ARHGAP31	309	8
ARHGAP32	487	14
ARHGAP33	234	4
ARHGAP35	481	32
ARHGAP36	173	4
ARHGAP39	175	2
ARHGAP4	615	20
ARHGAP44	595	6
ARHGAP5	388	14
ARHGAP6	173	4
ARHGAP9	307	18
ARHGDIA	683	34
ARHGDIB	954	24
ARHGDIG	181	6
ARHGEF1	594	36
ARHGEF10	205	4
ARHGEF10L	154	2
ARHGEF11	599	20
ARHGEF12	583	30
ARHGEF15	379	8
ARHGEF16	323	4
ARHGEF17	205	4
ARHGEF18	212	6
ARHGEF19	218	2
ARHGEF2	900	14
ARHGEF25	925	14
ARHGEF26	194	4
ARHGEF28	337	14
ARHGEF3	197	10
ARHGEF33	184	2
ARHGEF37	184	2
ARHGEF38	184	6
ARHGEF39	201	2
ARHGEF4	539	24
ARHGEF40	379	4
ARHGEF5	282	14
ARHGEF6	205	4
ARHGEF7	325	16
ARHGEF9	251	14
ARID1A	627	36
ARID1B	609	28
ARID2	261	14
ARID3A	369	28
ARID3B	593	16
ARID4A	439	14
ARID4B	433	12
ARID5A	573	22
ARIH1	375	6
ARIH2	300	2
ARL1	314	20
ARL10	263	22
ARL11	462	24
ARL13A	211	4
ARL13B	311	28
ARL14	277	22
ARL15	323	24
ARL16	382	22
ARL17B	330	34
ARL2	337	8
ARL2BP	201	8
ARL3	374	20
ARL4A	313	28
ARL4C	454	34
ARL4D	263	24
ARL5A	339	28
ARL5B	344	34
ARL5C	263	20
ARL6	673	22
ARL6IP1	445	2
ARL6IP4	209	4
ARL6IP5	444	6
ARL8A	906	18
ARL8B	329	26
ARL9	299	20
ARMC1	205	6
ARMC10	784	4
ARMC4	647	6
ARMC6	246	6
ARMC8	901	8
ARMCX3	572	4
ARMS2	622	28
ARNT	977	42
ARNT2	388	28
ARNTL	556	66
ARNTL2	443	10
ARPC1A	918	66
ARPC1B	454	22
ARPC2	916	36
ARPC3	912	20
ARPC4	906	12
ARPC5	906	18
ARPC5L	172	6
ARPP19	174	4
ARPP21	298	26
ARR3	238	14
ARRB1	914	64
ARRB2	910	58
ARRDC1	292	14
ARRDC3	386	18
ARRDC4	223	16
ARSA	913	26
ARSB	904	26
ARSD	441	28
ARSE	459	28
ARSF	269	8
ARSG	655	12
ARSH	721	32
ARSI	251	12
ARSJ	260	26
ARSK	311	12
ART1	229	8
ART3	400	18
ART4	523	8
ART5	250	4
ARTN	900	18
ARV1	409	4
ARVCF	510	14
ARX	346	22
AS3MT	424	8
ASAH1	941	30
ASAH2	246	8
ASAH2B	203	6
ASAP1	681	16
ASAP2	940	18
ASAP3	199	8
ASB1	266	20
ASB10	266	20
ASB11	357	26
ASB12	266	16
ASB13	266	20
ASB14	663	28
ASB15	266	20
ASB16	266	22
ASB18	266	18
ASB2	284	26
ASB3	266	26
ASB4	416	28
ASB5	266	24
ASB6	266	20
ASB7	260	26
ASB8	266	20
ASB9	424	24
ASCC1	321	20
ASCC3	196	6
ASCL1	737	58
ASCL2	623	18
ASCL3	178	2
ASCL5	203	2
ASF1A	825	26
ASF1B	777	12
ASGR1	329	38
ASGR2	259	22
ASH1L	458	24
ASH2L	987	24
ASIC1	252	12
ASIC2	509	32
ASIC3	376	16
ASIC4	186	6
ASIC5	186	2
ASIP	900	10
ASL	982	32
ASMT	273	10
ASMTL	242	10
ASNA1	388	22
ASNS	483	30
ASNSD1	195	10
ASPA	232	6
ASPDH	353	8
ASPG	531	40
ASPH	591	18
ASPHD2	234	4
ASPM	948	30
ASPN	479	30
ASPRV1	297	6
ASPSCR1	967	38
ASRGL1	188	8
ASS1	999	38
ASTE1	343	6
ASTL	628	22
ASTN1	461	20
ASTN2	474	14
ASUN	157	2
ASXL1	396	8
ASXL2	197	6
ASZ1	348	24
ATAD1	441	16
ATAD2	954	26
ATAD2B	482	38
ATAD3A	462	18
ATAD3B	436	6
ATAD5	335	14
ATCAY	438	34
ATE1	282	6
ATF1	426	14
ATF2	954	50
ATF3	797	86
ATF4	983	90
ATF5	417	22
ATF6	856	90
ATF6B	669	14
ATF7	277	14
ATF7IP	236	6
ATG10	288	10
ATG101	472	14
ATG12	587	42
ATG13	293	18
ATG14	420	14
ATG16L1	585	28
ATG16L2	247	6
ATG2A	158	4
ATG2B	215	6
ATG3	551	34
ATG4A	546	44
ATG4B	565	44
ATG4C	572	46
ATG4D	709	48
ATG5	774	82
ATG7	684	72
ATG9A	405	14
ATHL1	225	6
ATIC	959	70
ATL1	290	14
ATL2	412	4
ATL3	232	2
ATM	971	112
ATMIN	245	4
ATN1	926	68
ATOH1	638	30
ATOH7	290	24
ATOH8	167	4
ATOX1	497	20
ATP10A	553	26
ATP10B	221	12
ATP10D	337	10
ATP11A	908	44
ATP11B	907	14
ATP11C	286	16
ATP12A	783	114
ATP13A1	352	22
ATP13A2	574	54
ATP13A3	281	22
ATP13A4	519	24
ATP13A5	272	16
ATP1A1	730	24
ATP1A2	730	50
ATP1A3	730	44
ATP1A4	730	18
ATP1B1	725	34
ATP1B2	725	16
ATP1B3	725	4
ATP1B4	373	2
ATP2A1	921	60
ATP2A2	930	84
ATP2A3	915	36
ATP2B1	460	26
ATP2B2	465	44
ATP2B3	536	38
ATP2B4	516	34
ATP2C1	451	32
ATP2C2	688	26
ATP4A	706	82
ATP4B	373	4
ATP5B	936	64
ATP5C1	637	30
ATP5D	489	12
ATP5E	189	10
ATP5F1	332	12
ATP5G1	925	22
ATP5G2	511	12
ATP5G3	511	12
ATP5H	586	12
ATP5I	186	6
ATP5J	527	16
ATP5J2	328	6
ATP5L	456	12
ATP5L2	326	6
ATP5O	771	14
ATP5S	295	6
ATP5SL	220	4
ATP6AP1	900	8
ATP6AP2	927	34
ATP6V0A1	904	22
ATP6V0A2	917	46
ATP6V0A4	904	22
ATP6V0B	900	12
ATP6V0C	902	24
ATP6V0D1	902	20
ATP6V0D2	904	22
ATP6V0E1	900	6
ATP6V0E2	902	4
ATP6V1A	900	26
ATP6V1B1	901	24
ATP6V1B2	901	28
ATP6V1C1	902	8
ATP6V1C2	902	4
ATP6V1D	902	14
ATP6V1E1	905	18
ATP6V1E2	900	6
ATP6V1F	900	8
ATP6V1G1	900	4
ATP6V1G2	907	24
ATP6V1G3	901	6
ATP6V1H	900	14
ATP7A	710	82
ATP7B	599	62
ATP8A1	908	24
ATP8A2	339	22
ATP8B1	484	26
ATP8B2	224	16
ATP8B3	252	8
ATP8B4	908	38
ATP9A	539	16
ATP9B	264	8
ATPAF1	294	8
ATPAF2	317	8
ATPIF1	216	4
ATR	742	48
ATRAID	636	6
ATRIP	263	10
ATRN	395	30
ATRNL1	339	14
ATRX	459	52
ATXN1	493	66
ATXN10	364	10
ATXN1L	186	2
ATXN2	440	78
ATXN2L	355	20
ATXN3	744	64
ATXN3L	376	8
ATXN7	355	52
ATXN7L3	515	2
AUH	352	12
AUP1	218	8
AURKA	953	64
AURKAIP1	272	4
AURKB	991	34
AURKC	620	12
AUTS2	661	24
AVEN	399	12
AVIL	270	8
AVL9	165	2
AVP	990	86
AVPI1	215	4
AVPR1A	904	32
AVPR1B	900	14
AVPR2	917	56
AWAT1	577	12
AWAT2	532	2
AXIN1	999	84
AXIN2	995	60
AXL	539	72
AZGP1	541	40
AZI2	254	14
AZIN1	370	22
AZU1	985	44
B2M	990	128
B3GALNT2	248	2
B3GALT1	159	2
B3GALT2	160	2
B3GALT4	384	4
B3GALT5	210	6
B3GALT6	400	6
B3GALTL	914	8
B3GAT1	572	40
B3GAT2	284	6
B3GAT3	233	4
B3GNT2	451	8
B3GNT3	567	12
B3GNT4	277	4
B3GNT5	205	2
B3GNT6	512	6
B3GNT7	175	2
B3GNT9	294	4
B4GALNT1	448	18
B4GALNT2	250	10
B4GALT1	901	18
B4GALT2	273	2
B4GALT3	168	2
B4GALT4	163	4
B4GALT5	588	6
B4GALT6	248	4
B4GALT7	406	8
BAAT	904	22
BABAM1	913	22
BACE2	848	74
BACH1	529	12
BACH2	400	30
BAD	994	38
BAG1	623	56
BAG2	348	18
BAG3	571	44
BAG4	959	26
BAG5	345	12
BAG6	575	26
BAHCC1	262	4
BAHD1	414	8
BAI1	401	32
BAI2	438	2
BAI3	311	24
BAIAP2	565	22
BAIAP2L1	187	6
BAIAP2L2	546	4
BAIAP3	203	2
BAK1	984	48
BAMBI	331	12
BANF1	562	30
BANK1	344	22
BANP	421	12
BAP1	352	22
BARD1	942	46
BARHL1	434	20
BARHL2	441	18
BARX1	287	10
BARX2	286	2
BASP1	525	16
BATF	482	38
BATF2	443	12
BATF3	473	24
BAZ1A	325	24
BAZ1B	909	44
BAZ2A	571	32
BAZ2B	492	54
BBC3	972	52
BBOX1	315	28
BBS1	370	18
BBS10	767	16
BBS12	181	2
BBS2	669	36
BBS4	231	32
BBS5	164	2
BBS7	268	6
BBS9	158	4
BBX	197	4
BCAN	976	38
BCAP29	203	6
BCAP31	516	24
BCAR1	992	44
BCAR3	924	10
BCAS2	411	10
BCAS3	902	8
BCAS4	262	8
BCAT1	427	18
BCAT2	411	28
BCCIP	249	4
BCDIN3D	315	2
BCKDHA	780	34
BCKDHB	299	18
BCKDK	609	32
BCL10	601	48
BCL11A	490	38
BCL11B	622	50
BCL2A1	913	102
BCL2L1	998	132
BCL2L10	506	40
BCL2L11	997	86
BCL2L12	579	10
BCL2L13	347	12
BCL2L14	422	18
BCL2L15	365	4
BCL2L2	749	46
BCL6	926	76
BCL6B	267	2
BCL7A	349	10
BCL7B	349	6
BCL9	803	12
BCL9L	258	12
BCLAF1	379	24
BCO2	296	24
BCOR	207	22
BCORL1	167	8
BCR	947	54
BCS1L	933	38
BDH1	299	24
BDH2	220	8
BDKRB1	907	24
BDKRB2	978	34
BDP1	626	16
BECN1	980	100
BEND3	302	14
BEND5	248	2
BEST1	297	36
BEST2	319	6
BEST3	384	8
BEST4	264	6
BET1	416	6
BET1L	903	10
BEX1	313	14
BEX2	313	16
BEX4	168	4
BFAR	357	14
BFSP1	269	6
BFSP2	315	8
BGLAP	737	84
BGN	703	66
BHLHA15	511	16
BHLHA9	390	4
BHLHB9	284	4
BHLHE22	349	36
BHLHE23	330	2
BHLHE40	847	62
BHLHE41	911	28
BHMT	875	36
BHMT2	740	22
BICC1	315	8
BICD1	400	8
BICD2	372	6
BID	993	24
BIK	970	24
BIN2	988	34
BIN3	888	14
BIRC2	996	70
BIRC3	985	64
BIRC5	769	80
BIRC6	685	46
BIRC7	953	28
BIRC8	928	32
BLCAP	363	12
BLID	752	6
BLK	920	64
BLM	906	26
BLMH	554	92
BLNK	492	66
BLOC1S1	345	4
BLOC1S2	544	10
BLOC1S3	951	48
BLOC1S4	900	6
BLOC1S5	351	2
BLOC1S6	902	6
BLVRA	973	28
BLVRB	970	18
BLZF1	197	6
BMF	974	22
BMI1	772	62
BMP1	508	62
BMP10	408	20
BMP15	902	34
BMP2	844	96
BMP2K	876	16
BMP3	332	26
BMP4	945	96
BMP5	275	30
BMP6	690	56
BMP7	774	90
BMP8A	221	8
BMP8B	223	20
BMPER	541	22
BMPR1A	825	62
BMPR1B	646	42
BMPR2	605	56
BMS1	269	6
BMX	945	36
BNC1	163	6
BNC2	517	10
BNIP1	399	8
BNIP2	902	8
BNIP3	922	52
BNIP3L	529	30
BNIPL	305	4
BOC	610	14
BOD1	317	2
BOD1L1	558	6
BOK	548	20
BOLA2	290	18
BOLA2B	290	18
BOLA3	264	8
BOLL	537	10
BOP1	711	10
BORA	412	16
BPGM	968	14
BPHL	378	6
BPI	983	24
BPIFA1	396	12
BPIFA2	260	4
BPIFB1	211	2
BPIFB2	919	20
BPIFB3	156	2
BPNT1	679	16
BPTF	734	52
BRAF	420	40
BRAP	548	16
BRAT1	183	2
BRCA1	987	118
BRCA2	708	72
BRCC3	922	16
BRD1	747	50
BRD2	409	44
BRD3	374	30
BRD4	583	54
BRD7	356	12
BRD8	943	30
BRD9	177	8
BRDT	368	24
BRE	906	8
BRF1	288	6
BRF2	176	2
BRI3	900	4
BRIP1	197	2
BRIX1	298	12
BRK1	792	10
BRMS1	639	18
BRMS1L	615	16
BRPF1	805	28
BRPF3	736	6
BRS3	902	14
BRSK1	934	28
BRSK2	942	32
BRWD1	234	14
BRWD3	179	8
BSCL2	551	28
BSG	836	74
BSN	591	52
BSND	381	6
BSPH1	205	4
BSPRY	194	2
BST1	914	16
BST2	900	26
BSX	520	12
